Study_ID,Species_scientific_name,Species_common_name,Comment
S_150,Salvelinus namaycush,Lake trout,na
S_150,Cyprinus carpio,Common carp,na
S_150,Lepomis macrochirus,Bluegill sunfish,na
S_150,Anguilla anguilla,Eel,The authors did not report the scientific name
S_150,Lutjanus campechanus,Snapper,The authors did not report the scientific name
S_150,Ictaluridae,Catfish,The authors did not report the scientific name
S_150,Opsanus tau,Oyster toadfish,na
S_150,Micropogonias undulatus,Atlantic croaker ,na
S_150,Mentichrrhus americanus,Southern kingfish,na
S_150,Dasyatis americana,Southern stingray,na
S_150,Bairdiells chrysoura,Silver perch,na
S_150,Leistomus xanthurus,Spot,na
S_150,Synodus foetens,Inshore lizardfish,na
S_150,Haemulton aurolineatum,Tomtate,na
S_150,Prionotus sp.,Sea robin,na
S_150,Centroprinstis striata,Black sea bass,na
S_150,Micropterus salmoides,Large mouth bass,na
S_150,Rhizoprionodon terranovae,Atlantic sharp-nose shark,na
S_150,Sphyrna tiburo,Bonnethead shark,na
S_150,Lepomis macrochirus,Bluegill,na
S_150,Pomoxis nigromaculatus,Black crappie,na
S_150,Lepomis gibbosus,Pumpkinseed,na
S_150,Mugil incilis,Mullet,na
S_150,Lepidopus caudatus,Silver scabbardfish,na
S_150,Micropogonias furnier,Whitemouth croaker ,na
S_150,Mugil liza,Mullet,na
S_150,Caretta caretta,Loggerhead sea turtle,na
S_150,Pygoscelis adeliae,Adelie penguin,na
S_150,Stercorarius maccormicki,South polar skua,na
S_150,Thalassarche mélanophrys,Black-browed albatross,na
S_150,Thalassarche chrysostoma,Gray-headed albatross ,na
S_150,Phoebetria palpebrata,Light-mantled sooty albatross,na
S_150,Diomedea epomophora,Royal albatross,na
S_150,Thalassarche cauta,Shy albatross,na
S_150,Diomedea exulans,Wandering albatross,na
S_150,Thalassarche mélanophrys,Black-browed albatross,na
S_150,Pygoscelis adéliae,Adélie penguin,na
S_150,Pygoscelis papua,Gentoo penguin,na
S_150,Anas platyrhynchos,Mallard,The authors did not report the scientific name
S_150,Chroicocephalus ridibundus,Blackheaded gull,The authors did not report the scientific name
S_150,Thalassarche mélanophrys,Black-browed albatross,na
S_150,Thalassarche chrysostoma,Gray-headed albatross,na
S_150,Diomedea immutabilis,Laysan albatross,na
S_150,Phoebetria palpebrata,Light-mantled sooty albatross,na
S_150,Diomedea epomophora,Royal albatross,na
S_150,Thalassarche cauta,Shy albatross,na
S_150,Diomedea exulans,Wandering albatross,na
S_150,Thalassarche chlororhynchos,Yellow-nosed albatross ,na
S_150,Phalacrocorax carbo,Common cormorant,na
S_150,Egretta garzetta,Little egret,na
S_150,Nycticorax nycticorax,Night heron,na
S_150,Ardea alba,Great egret,na
S_150,Charadrius dubius,Little ringed plover,na
S_150,Paradoxornis webbiana,Parrot bill,na
S_150,Melanitta fusca,Velvet scoter,na
S_150,Sommateria mollisima,Eider,na
S_150,Clangula hyemalis,Long-tailed duck,na
S_150,Alca torda,Razorbill,na
S_150,Gavia stellata,Red-throated diver,na
S_150,Larus fuscus,Black-backed gull,na
S_150,Uria aalge,Guillemot,na
S_150,Somateria mollisima,Common eider,na
S_150,Phalacrocorax aristotelis,European shag,na
S_150,Mergus merganser,Common merganser,na
S_150,Lophodytes cucullatus,Hooded merganser,na
S_150,Bucephala albeola,Bufflehead,na
S_150,Anas platyrhynchos,Mallard,na
S_150,Melanitta perpicillata,Surf scoter,na
S_150,Anas rubripes,Black duck,na
S_150,Bucephala clangula,Common goldeneye,na
S_150,Aythya marlia,Greater scaup,na
S_150,Aythya affinis,Lesser scaup ,na
S_150,Aythya collaris,Ring-neck duck,na
S_150,Diomedea immutabilis,Laysan albatross,na
S_150,Diomedea nigripes,Black-fotted albatross,na
S_150,Ardea herodias,Great blue heron ,na
S_150,Fulmarus glacialis,Northern fulmar,na
S_150,Ardea herodias,Great blue heron,na
S_150,Larus argentatus,Herring gull,na
S_150,Pelecanus occidentalis,Brown pelican,na
S_150,Mirounga leonine,Elephant seal ,na
S_150,Arctocephalus gazella,Antarctic fur sea,na
S_150,Neophocaena phocaenoides,Finless porpoise,The authors did not report the scientific name
S_150,Phocoena phocoena,Harbor porpoise,na
S_150,Peponocephala electra,Melon-headed whale,na
S_150,Pusa sibirica,Baikal seal,na
S_150,Platanista gangetica,Ganges river dolphin,na
S_150,Sousa chinensis,Indo-Pacific humpback dolphin,na
S_150,Neophocaena phocaenoides,Finless porpoise,na
S_150,Balaenoptera acutorostrata,Minke whale,na
S_150,Delphinus capensis,Long-beaked common dolphin,
S_150,Phocoena phocoena,Harbor porpoise,na
S_150,Phoca vitulina,Harbor seal,na
S_150,Enhydra lutris,Southern sea otter ,The authors did not report the scientific name
S_150,Enhydra lutris kenyoni,Northern sea otter,na
S_150,Phoca vitulina concolor,Harbor seal,na
S_150,Phoca hispida,Ringed seal,na
S_150,Erignathus barbatus,Bearded seal,na
S_150,Phoca largha,Spotted seal,na
S_150,Phoca fasciata,Ribbon seal,na
S_150,Pontoporia blainvillei,Franciscana dolphin,na
S_150,Arctocephalus trophicalis,Subantarctic fur seal,na
S_150,Sotalia guianensis,Tucuxi dolphin,na
S_172,Rattus norvegicus,Sprague Dawley rat,The authors did not report the scientific name
S_172,Mus musculus,C57Bl/6 mice,The authors did not report the scientific name
S_174,Mus musculus,CD1 mice,The authors did not report the scientific name
S_174,Rattus norvegicus,Sprague Dawley rat,The authors did not report the scientific name
S_174,Leporidae,Rabbit,The authors did not report the scientific name
S_174,Danio rerio,Zebrafish,The authors did not report the scientific name
S_174,Gallus domesticus,Chicken,The authors did not report the scientific name
S_174,Xenopus,Clawed frogs,The authors did not report the common name
S_174,Salmo salar,Atlantic salmon,The authors did not report the scientific name
S_174,Drosophila melanogaster,Fruit fly,The authors did not report the scientific name
S_175,Aetobatus narinari,Spotted eagle ray,na
